จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนเจ้าหน้าที่ปฏิบัติงาน (พนักงานดับเพลิง)    จำนวน(คน),รถดับเพลิง	จำนวน(คัน),"รถบรรทุกน้ำ ขนาดความจุน้อยกว่า 10,000 ลิตร   จำนวน(คัน)","รถบรรทุกน้ำ ขนาดความจุมากกว่า 10,000 ลิตร   จำนวน(คัน)",รถกระเช้า	จำนวน(คัน),รถบันได	จำนวน(คัน),เรือยนต์ดับเพลิง   จำนวน(ลำ),เครื่องดับเพลิงชนิดหาบหาม  จำนวน(เครื่อง),รถกู้ภัย จำนวน(คัน),รถสุขาเคลื่อนที่ จำนวน(คัน),เครื่องสูบน้ำ ขนาด 3 - 5 นิ้ว   จำนวน(เครื่อง),เครื่องสูบน้ำ  แยกเป็นชนิดหาบหาม   จำนวน(เครื่อง),เครื่องสูบน้ำ  แยกเป็นพญานาค   จำนวน(เครื่อง),เครื่องสูบน้ำ ขนาดมากกว่า 5 - 10 นิ้ว   จำนวน(เครื่อง),เครื่องสูบน้ำ ขนาดมากกว่า 10 นิ้ว   จำนวน(เครื่อง),รถบรรทุกดั้ม 6 ล้อ จำนวน(คัน),รถบรรทุกดั้ม 10 ล้อ จำนวน(คัน),รถพยาบาลฉุกเฉิน พร้อมอุปกรณ์ทางการแพทย์ จำนวน(คัน),รถหอน้ำ จำนวน(คัน),รถตรวจการณ์ จำนวน(คัน),เบาะลม จำนวน(อัน),เรือกู้ชีพ จำนวน(ลำ)
เชียงราย,144,831,81,124,26,50,1.0,2.0,71,77,1.0,64,38,26,22,5,45,1.0,20,2.0,17,1.0,12.0
เชียงใหม่,211,"1,160",168,229,51,162,5.0,3.0,192,142,10.0,211,151,60,94,27,98,4.0,77,9.0,55,1.0,12.0
ตรัง,100,230,39,48,23,43,1.0,4.0,44,34,3.0,19,18,1,3,0,29,6.0,15,0.0,10,2.0,11.0
ตราด,44,173,25,39,15,22,0.0,1.0,51,23,2.0,14,14,0,16,3,15,2.0,21,0.0,13,0.0,9.0
ตาก,69,341,38,56,16,34,1.0,4.0,69,33,0.0,35,25,10,30,1,39,5.0,2,0.0,3,0.0,0.0
นครนายก,46,88,22,38,15,15,1.0,0.0,132,15,2.0,28,14,14,11,5,12,0.0,7,0.0,14,0.0,1.0
นครปฐม,117,396,62,83,30,56,1.0,2.0,239,16,2.0,179,47,132,127,42,26,3.0,8,2.0,22,2.0,5.0
นครพนม,104,357,54,77,23,37,0.0,2.0,98,78,0.0,167,105,62,20,32,6,3.0,38,0.0,6,0.0,9.0
นครราชสีมา,334,"1,044",139,189,74,113,4.0,1.0,607,87,5.0,167,108,59,114,17,47,1.0,46,3.0,48,2.0,36.0
นครศรีธรรมราช,185,567,65,92,28,63,2.0,9.0,92,71,5.0,60,37,23,37,7,33,10.0,57,2.0,20,4.0,53.0
นครสวรรค์,143,598,82,125,45,85,2.0,14.0,172,49,3.0,146,62,84,103,31,32,11.0,21,1.0,32,1.0,12.0
