ผู้สมัครรับเลือกตั้งสมาชิกวุฒิสภา,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
นนทบุรี,นายกิตติชัย ปฏิภาณประเสริฐ,12,ชาย,51 - 60 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
นนทบุรี,นายจักรชัย อุ่นใจ,1,ชาย,61 - 70 ปี,ปริญญาเอก,ครู/อาจารย์/นักวิชาการ
นนทบุรี,นายชาลี โกมลสุทธิ์,5,ชาย,61 - 70 ปี,ปริญญาโท,ครู/อาจารย์/นักวิชาการ
นนทบุรี,นายธนพงศ์ ธนเดชากุล,3,ชาย,51 - 60 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
นนทบุรี,นายพรชัย สาเมือง,2,ชาย,40 - 50 ปี,ปริญญาเอก,ธุรกิจส่วนตัว/ค้าขาย
นนทบุรี,นายยวด แก้วแดง,7,ชาย,71 - 80 ปี,ปริญญาเอก,ข้าราชการบำนาญ
นนทบุรี,นายรวีโรจน์ ธนบดีธนไพศาล,10,ชาย,51 - 60 ปี,ปริญญาเอก,ข้าราชการบำนาญ
นนทบุรี,นายรังสรรค์ ทองทา,11,ชาย,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
นนทบุรี,นายวรเศรษฐ์ พัชรปรีชารัตน์,4,ชาย,61 - 70 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
นนทบุรี,นายวัชรพล บุษมงคล,6,ชาย,51 - 60 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
นราธิวาส,นายซูไหรี่ นิฮะ,4,ชาย,40 - 50 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
นราธิวาส,นายนิมันซูร จิยี่งอ,1,ชาย,40 - 50 ปี,ปริญญาโท,ครู/อาจารย์/นักวิชาการ
นราธิวาส,นายนิรันดร์ บุญบ้านเกิด,3,ชาย,61 - 70 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
นราธิวาส,นายมะฮูเซ็น มะสุยี,2,ชาย,51 - 60 ปี,ปริญญาตรี,นักการเมือง
น่าน,นายชัยวุฒิ คูอาริยะกุล,1,ชาย,40 - 50 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
น่าน,นายศรีสุรินทร์ จำปา,2,ชาย,51 - 60 ปี,ปริญญาโท,ข้าราชการบำนาญ
น่าน,นายเสรี พิมพ์มาศ,3,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
น่าน,นายอานนท์ ตันตระกูล,4,ชาย,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
บึงกาฬ,นางกันยา แต้เจริญวิริยะกุล,4,หญิง,51 - 60 ปี,ปริญญาตรี,ข้าราชการประจำ
บึงกาฬ,นายณัฐพล เนื่องชมภู,3,ชาย,51 - 60 ปี,ปริญญาเอก,ครู/อาจารย์/นักวิชาการ
บึงกาฬ,นายบุญมา พันดวง,1,ชาย,51 - 60 ปี,ปริญญาตรี,อาชีพอื่นๆ
บึงกาฬ,นายวิทยา บุติมุลตรี,5,ชาย,40 - 50 ปี,ปริญญาโท,ข้าราชการประจำ
บึงกาฬ,นายอัคเนย์ แถวบุญตา,2,ชาย,61 - 70 ปี,ปริญญาตรี,ข้าราชการประจำ
บุรีรัมย์,นายการุณ ใสงาม,1,ชาย,61 - 70 ปี,ปริญญาโท,ทนาย/นักกฎหมาย
บุรีรัมย์,นายยืนยง ทิพย์โภชน์,2,ชาย,51 - 60 ปี,ปริญญาโท,ครู/อาจารย์/นักวิชาการ
บุรีรัมย์,นายเสริมศักดิ์ ทองศรี,3,ชาย,61 - 70 ปี,ปริญญาโท,เกษตรกร
ปทุมธานี,นางนิพัทธา อมรรัตนเมธา,7,หญิง,71 - 80 ปี,ปริญญาโท,ข้าราชการบำนาญ
ปทุมธานี,นางมาลา หาญสวัสดิ์,1,หญิง,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
ปทุมธานี,นางสาวอิสรา สงวนพงศ์,8,หญิง,40 - 50 ปี,ปริญญาโท,รับจ้าง/อาชีพอิสระ
ปทุมธานี,นางเอมอร ซำศิริพงษ์,3,หญิง,61 - 70 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
ปทุมธานี,นายพรหมชยารัฐ ธนัฒศิริวรรณ,10,ชาย,40 - 50 ปี,ปริญญาเอก,ข้าราชการประจำ
ปทุมธานี,นายสุชาติ โสมเกษตรินทร์,6,ชาย,51 - 60 ปี,ปริญญาโท,รับจ้าง/อาชีพอิสระ
ปทุมธานี,นายสุพจน์ ศรีสุวรรณ,4,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
ปทุมธานี,นายเอกสิทธิ์ ลิ้มสุวรรณ,9,ชาย,61 - 70 ปี,ปริญญาเอก,ข้าราชการบำนาญ
ปทุมธานี,พันจ่าเอกวิชัย หัสดี,2,ชาย,51 - 60 ปี,ปริญญาตรี,ข้าราชการประจำ
ปทุมธานี,ว่าที่ พันตำรวจเอกประทีป เจริญกัลป์,5,ชาย,40 - 50 ปี,ปริญญาโท,ข้าราชการประจำ
ประจวบคีรีขันธ์,นายสนิท บุญก่อสกุล,2,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
ประจวบคีรีขันธ์,นายสืบยศ ใบแย้ม,1,ชาย,51 - 60 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
ประจวบคีรีขันธ์,นายสุรศักดิ์ ดุสิตสิทธิพร,3,ชาย,40 - 50 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
ปราจีนบุรี,นางไพรินทร์ จิรัฐิติเจริญ,3,หญิง,51 - 60 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
